date,buy_and_hold,yield_trend_63d,curve_mean_reversion,vol_scaled_trend,rule_blend,l1_logistic_walkforward
2021-12-21,1.0,-1.0,-1.0,-0.8070738046965886,-1.0,1.0
2021-12-22,1.0,-1.0,-1.0,-0.8109893495296402,-1.0,1.0
2021-12-23,1.0,-1.0,-1.0,-0.8105121246458921,-1.0,1.0
2021-12-27,1.0,-1.0,-1.0,-0.8073243199893877,-1.0,1.0
2021-12-28,1.0,-1.0,-1.0,-0.8267394241470749,-1.0,1.0
2021-12-29,1.0,-1.0,-1.0,-0.8362943523218093,-1.0,1.0
2021-12-30,1.0,-1.0,-1.0,-0.8268326766468719,-1.0,1.0
2021-12-31,1.0,1.0,-1.0,0.8340692713193383,0.19999999999999996,1.0
2022-01-03,1.0,1.0,-1.0,0.8343651889615197,0.19999999999999996,1.0
2022-01-04,1.0,-1.0,-1.0,-0.8053206730261872,-1.0,1.0
2022-01-05,1.0,-1.0,-1.0,-0.8079411132688636,-1.0,1.0
2022-01-06,1.0,-1.0,-1.0,-0.8026827138110195,-1.0,1.0
2022-01-07,1.0,-1.0,-1.0,-0.8074830579794908,-1.0,1.0
2022-01-10,1.0,-1.0,-1.0,-0.8062042336398304,-1.0,1.0
2022-01-11,1.0,-1.0,-1.0,-0.8110224439404774,-1.0,1.0
2022-01-12,1.0,-1.0,-1.0,-0.8102189958718737,-1.0,1.0
2022-01-13,1.0,-1.0,-1.0,-0.8110989124733633,-1.0,1.0
2022-01-14,1.0,-1.0,-1.0,-0.8092618918770408,-1.0,1.0
2022-01-18,1.0,-1.0,-1.0,-0.79951574940041,-1.0,1.0
2022-01-19,1.0,-1.0,-1.0,-0.7927459370727514,-1.0,1.0
2022-01-20,1.0,-1.0,-1.0,-0.7882972098384107,-1.0,1.0
2022-01-21,1.0,-1.0,-1.0,-0.7958412932055993,-1.0,1.0
2022-01-24,1.0,-1.0,-1.0,-0.7804364715858454,-1.0,1.0
2022-01-25,1.0,-1.0,-1.0,-0.7822687648515173,-1.0,1.0
2022-01-26,1.0,-1.0,-1.0,-0.7815262688430755,-1.0,1.0
2022-01-27,1.0,-1.0,-1.0,-0.77278656428064,-1.0,1.0
2022-01-28,1.0,-1.0,-1.0,-0.7691859294020097,-1.0,1.0
2022-01-31,1.0,-1.0,-1.0,-0.786161747461684,-1.0,1.0
2022-02-01,1.0,-1.0,-1.0,-0.7876894571075697,-1.0,1.0
2022-02-02,1.0,-1.0,-1.0,-0.7884322004310065,-1.0,1.0
2022-02-03,1.0,-1.0,-1.0,-0.7874473937742674,-1.0,1.0
2022-02-04,1.0,-1.0,-1.0,-0.785778755260288,-1.0,1.0
2022-02-07,1.0,-1.0,-1.0,-0.7646587404577939,-1.0,1.0
2022-02-08,1.0,-1.0,-1.0,-0.7765936351590949,-1.0,1.0
2022-02-09,1.0,-1.0,-1.0,-0.7917543324894988,-1.0,1.0
2022-02-10,1.0,-1.0,-1.0,-0.796687140951709,-1.0,1.0
2022-02-11,1.0,-1.0,-1.0,-0.7894122988721236,-1.0,1.0
2022-02-14,1.0,-1.0,-1.0,-0.7790484097568439,-1.0,0.0
2022-02-15,1.0,-1.0,-1.0,-0.7732874445034832,-1.0,1.0
2022-02-16,1.0,-1.0,-1.0,-0.7690595255772569,-1.0,1.0
2022-02-17,1.0,-1.0,-1.0,-0.7676701951410412,-1.0,1.0
2022-02-18,1.0,-1.0,-1.0,-0.7614770808519814,-1.0,1.0
2022-02-22,1.0,-1.0,-1.0,-0.7557616814301814,-1.0,1.0
